Entity,GDP
Afghanistan,21464366797.101448
Albania,11606623341.333334
Algeria,162836896791.66666
Angola,37925003139.13043
Argentina,259595973861.7886
Armenia,25264284725.0
Australia,184034051020.1005
Austria,101075638344.15584
Azerbaijan,76422953925.0
Bahrain,12027691420.869566
Bangladesh,167123546782.6087
Barbados,2610624565.2173915
Belarus,121014448000.0
Belgium,118352582522.47191
Benin,9034832246.376812
Bolivia,17690479089.915966
Bosnia and Herzegovina,22561896940.298508
Botswana,8777158123.623188
Brazil,579868090019.8676
Bulgaria,56110474402.06186
Burkina Faso,11207259710.144928
Burundi,4289649349.2753625
Cambodia,16748875134.782608
Cameroon,24892263275.36232
Canada,374577307071.4286
Cape Verde,1104647634.7826087
Central African Republic,3005966217.3913045
Chad,7539449595.652174
Chile,60633233633.16583
China,3622426754301.075
Colombia,144403652894.30893
Comoros,500227044.34782606
Congo,9838663257.971014
Costa Rica,18025066766.666668
Cote d'Ivoire,30938912026.086956
Croatia,50409923164.17911
Cuba,27808703906.77966
Cyprus,11027433959.42029
Czechia,177865597979.59183
Czechoslovakia,167797291645.83334
Democratic Republic of Congo,30787662507.246376
Denmark,59049835206.03015
Djibouti,1123864071.0144928
Dominica,279007953.9130435
Dominican Republic,41348165965.21739
East Asia (MPD),8199999932500.0
Eastern Europe (MPD),3182085620625.0
Ecuador,39947770383.333336
Egypt,294656706733.3333
El Salvador,16253540881.818182
Equatorial Guinea,6971729577.391304
Estonia,26085488175.0
Eswatini,3152583354.7826085
Ethiopia,50138751956.521736
Finland,53921520503.06748
Former Sudan,44060434623.18841
France,584941398024.6305
Gabon,10241397372.463768
Gambia,1417151475.3623188
Georgia,44460325925.0
Germany,941714843294.7977
Ghana,33598246281.69014
Greece,62875638352.94118
Guatemala,36308330606.06061
Guinea,6006108018.84058
Guinea-Bissau,1187899245.0724638
Haiti,10092160891.891891
Honduras,11681313798.989899
Hong Kong,130894712365.27777
Hungary,91018037285.71428
Iceland,6509954128.985507
India,1222187696388.889
Indonesia,334625018359.375
Iran,449965958945.2055
Iraq,117537630135.13513
Ireland,67651459475.24753
Israel,98118499572.46378
Italy,497843472699.5074
Jamaica,11111202396.341463
Japan,1405715109274.648
Jordan,27310189533.333332
Kazakhstan,235430511500.0
Kenya,46875371223.18841
Kuwait,73172471575.36232
Kyrgyzstan,20524102425.0
Laos,10055416949.275362
Latin America (MPD),3095034127937.5
Latvia,35137295125.0
Lebanon,29514855615.27778
Lesotho,2548928314.4927535
Liberia,4382073932.898551
Libya,37952727816.521736
Lithuania,50617338475.0
Luxembourg,14223693142.028986
Madagascar,16446393165.217392
Malawi,8024187813.043478
Malaysia,121409203605.1282
Mali,10118565210.144928
Malta,4763751203.333333
Mauritania,4098433695.652174
Mauritius,10784460046.376812
Mexico,451083523369.2308
Middle East (MPD),2852034625250.0
Moldova,24722265300.0
Mongolia,8043073181.15942
Montenegro,4164523928.358209
Morocco,99927509625.0
Mozambique,20564826304.347828
Myanmar,68753046419.75308
Namibia,8762631257.971014
Nepal,26595260125.0
Netherlands,156259116115.34653
New Zealand,40262283263.1579
Nicaragua,8950873603.030304
Niger,7902063879.710145
Nigeria,279824885840.5797
North Korea,38377812756.25
North Macedonia,14630660979.104477
Norway,64587429821.052635
Oman,39788680461.44927
Pakistan,336668737840.5797
Palestine,9270387366.197184
Panama,14403147398.23009
Paraguay,18987780677.5
Peru,78204025209.30232
Philippines,167119002517.54385
Poland,311111416565.2174
Portugal,59942081767.89474
Puerto Rico,60019631289.85507
Qatar,60660961960.86957
Romania,97584634971.15384
Russia,1851837426949.1526
Rwanda,8151151400.0
Saint Lucia,694324318.4057971
Sao Tome and Principe,281723261.01449275
Saudi Arabia,395454942708.3333
Senegal,16219887779.710144
Serbia,59019992059.70149
Seychelles,744700502.6086956
Sierra Leone,5113032795.652174
Singapore,72927032960.20409
Slovakia,90308436500.0
Slovenia,33309750411.9403
South Africa,258080532333.33334
South Korea,405382110836.1111
South and South-East Asia (MPD),5172623920625.0
Spain,313971060356.32184
Sri Lanka,39947058509.93378
Sub-Saharan Africa (MPD),1130144255000.0
Sweden,90651828539.60396
Switzerland,108729263760.35503
Syria,75706011805.55556
Taiwan,213321630423.42343
Tajikistan,20641242625.0
Tanzania,36358100165.21739
Thailand,353206027386.6667
Togo,4530634098.550725
Trinidad and Tobago,19458529837.68116
Tunisia,45041908064.38356
Turkey,370825255291.26215
Turkmenistan,43971927150.0
USSR,2050907186804.1238
Uganda,24576856517.391304
Ukraine,402230043000.0
United Arab Emirates,152492222861.19403
United Kingdom,638417688886.6995
United States,3411882709829.1455
Uruguay,18062335417.218544
Uzbekistan,159241659125.0
Venezuela,121461931556.2914
Vietnam,160012411541.66666
Western Europe (MPD),6964079336875.0
Western Offshoots (MPD),8061099480125.0
World,38652453800000.0
Yemen,45834728649.27536
Yugoslavia,133921929010.30928
Zambia,15719136073.913044
Zimbabwe,15427842918.84058
