Source,Year,Mean,Decade,Tasa_de_Cambio
GISTEMP,1880,-0.2,1880,
GISTEMP,1881,-0.12,1880,0.008000000000000002
GISTEMP,1882,-0.1,1880,0.001999999999999999
GISTEMP,1883,-0.21,1880,-0.011
GISTEMP,1884,-0.28,1880,-0.007000000000000004
GISTEMP,1885,-0.32,1880,-0.003999999999999998
GISTEMP,1886,-0.31,1880,0.0010000000000000009
GISTEMP,1887,-0.33,1880,-0.0020000000000000018
GISTEMP,1888,-0.2,1880,0.013000000000000001
GISTEMP,1889,-0.12,1880,0.008000000000000002
GISTEMP,1890,-0.37,1890,-0.025
GISTEMP,1891,-0.24,1890,0.013000000000000001
GISTEMP,1892,-0.27,1890,-0.0030000000000000027
GISTEMP,1893,-0.3,1890,-0.002999999999999997
GISTEMP,1894,-0.31,1890,-0.0010000000000000009
GISTEMP,1895,-0.21,1890,0.01
GISTEMP,1896,-0.15,1890,0.006
GISTEMP,1897,-0.11,1890,0.003999999999999999
GISTEMP,1898,-0.28,1890,-0.017000000000000005
GISTEMP,1899,-0.16,1890,0.012000000000000002
GISTEMP,1900,-0.09,1900,0.007000000000000001
GISTEMP,1901,-0.15,1900,-0.006
GISTEMP,1902,-0.27,1900,-0.012000000000000002
GISTEMP,1903,-0.35,1900,-0.007999999999999997
GISTEMP,1904,-0.44,1900,-0.009000000000000003
GISTEMP,1905,-0.28,1900,0.015999999999999997
GISTEMP,1906,-0.23,1900,0.005000000000000002
GISTEMP,1907,-0.4,1900,-0.017
GISTEMP,1908,-0.43,1900,-0.002999999999999997
GISTEMP,1909,-0.47,1900,-0.003999999999999998
GISTEMP,1910,-0.42,1910,0.004999999999999999
GISTEMP,1911,-0.44,1910,-0.0020000000000000018
GISTEMP,1912,-0.35,1910,0.009000000000000003
GISTEMP,1913,-0.34,1910,0.0009999999999999953
GISTEMP,1914,-0.16,1910,0.018000000000000002
GISTEMP,1915,-0.11,1910,0.005
GISTEMP,1916,-0.34,1910,-0.023000000000000003
GISTEMP,1917,-0.4,1910,-0.006
GISTEMP,1918,-0.26,1910,0.014000000000000002
GISTEMP,1919,-0.22,1910,0.004000000000000001
GISTEMP,1920,-0.27,1920,-0.005000000000000002
GISTEMP,1921,-0.21,1920,0.006000000000000003
GISTEMP,1922,-0.28,1920,-0.007000000000000004
GISTEMP,1923,-0.24,1920,0.0040000000000000036
GISTEMP,1924,-0.28,1920,-0.0040000000000000036
GISTEMP,1925,-0.21,1920,0.007000000000000004
GISTEMP,1926,-0.1,1920,0.011
GISTEMP,1927,-0.21,1920,-0.011
GISTEMP,1928,-0.21,1920,0.0
GISTEMP,1929,-0.36,1920,-0.015
GISTEMP,1930,-0.15,1930,0.020999999999999998
GISTEMP,1931,-0.09,1930,0.006
GISTEMP,1932,-0.17,1930,-0.008000000000000002
GISTEMP,1933,-0.29,1930,-0.011999999999999997
GISTEMP,1934,-0.14,1930,0.014999999999999996
GISTEMP,1935,-0.2,1930,-0.006
GISTEMP,1936,-0.15,1930,0.005000000000000002
GISTEMP,1937,-0.03,1930,0.012
GISTEMP,1938,-0.03,1930,0.0
GISTEMP,1939,-0.03,1930,0.0
GISTEMP,1940,0.08,1940,0.011
GISTEMP,1941,0.12,1940,0.003999999999999999
GISTEMP,1942,0.09,1940,-0.003
GISTEMP,1943,0.13,1940,0.004000000000000001
GISTEMP,1944,0.25,1940,0.012
GISTEMP,1945,0.12,1940,-0.013000000000000001
GISTEMP,1946,-0.04,1940,-0.016
GISTEMP,1947,-0.05,1940,-0.0010000000000000002
GISTEMP,1948,-0.09,1940,-0.003999999999999999
GISTEMP,1949,-0.09,1940,0.0
GISTEMP,1950,-0.18,1950,-0.009
GISTEMP,1951,-0.07,1950,0.011
GISTEMP,1952,0.01,1950,0.008
GISTEMP,1953,0.08,1950,0.007000000000000001
GISTEMP,1954,-0.13,1950,-0.021
GISTEMP,1955,-0.15,1950,-0.001999999999999999
GISTEMP,1956,-0.2,1950,-0.005000000000000002
GISTEMP,1957,0.04,1950,0.024
GISTEMP,1958,0.07,1950,0.0030000000000000005
GISTEMP,1959,0.03,1950,-0.004000000000000001
GISTEMP,1960,-0.02,1960,-0.005
GISTEMP,1961,0.05,1960,0.007000000000000001
GISTEMP,1962,0.03,1960,-0.0020000000000000005
GISTEMP,1963,0.06,1960,0.003
GISTEMP,1964,-0.2,1960,-0.026000000000000002
GISTEMP,1965,-0.1,1960,0.01
GISTEMP,1966,-0.05,1960,0.005
GISTEMP,1967,-0.02,1960,0.003
GISTEMP,1968,-0.07,1960,-0.005
GISTEMP,1969,0.07,1960,0.014000000000000002
GISTEMP,1970,0.02,1970,-0.005
GISTEMP,1971,-0.09,1970,-0.011
GISTEMP,1972,0.01,1970,0.009999999999999998
GISTEMP,1973,0.15,1970,0.013999999999999999
GISTEMP,1974,-0.07,1970,-0.022
GISTEMP,1975,-0.02,1970,0.005
GISTEMP,1976,-0.11,1970,-0.009
GISTEMP,1977,0.18,1970,0.028999999999999998
GISTEMP,1978,0.07,1970,-0.011
GISTEMP,1979,0.17,1970,0.01
GISTEMP,1980,0.27,1980,0.01
GISTEMP,1981,0.33,1980,0.006
GISTEMP,1982,0.13,1980,-0.02
GISTEMP,1983,0.3,1980,0.016999999999999998
GISTEMP,1984,0.15,1980,-0.015
GISTEMP,1985,0.12,1980,-0.003
GISTEMP,1986,0.19,1980,0.007000000000000001
GISTEMP,1987,0.33,1980,0.014000000000000002
GISTEMP,1988,0.41,1980,0.007999999999999997
GISTEMP,1989,0.29,1980,-0.012
GISTEMP,1990,0.44,1990,0.015000000000000003
GISTEMP,1991,0.43,1990,-0.0010000000000000009
GISTEMP,1992,0.23,1990,-0.019999999999999997
GISTEMP,1993,0.24,1990,0.000999999999999998
GISTEMP,1994,0.32,1990,0.008000000000000002
GISTEMP,1995,0.46,1990,0.014000000000000002
GISTEMP,1996,0.35,1990,-0.011000000000000005
GISTEMP,1997,0.48,1990,0.013000000000000001
GISTEMP,1998,0.64,1990,0.016000000000000004
GISTEMP,1999,0.42,1990,-0.022000000000000002
GISTEMP,2000,0.42,2000,0.0
GISTEMP,2001,0.55,2000,0.013000000000000006
GISTEMP,2002,0.63,2000,0.007999999999999997
GISTEMP,2003,0.62,2000,-0.0010000000000000009
GISTEMP,2004,0.55,2000,-0.006999999999999995
GISTEMP,2005,0.69,2000,0.01399999999999999
GISTEMP,2006,0.63,2000,-0.005999999999999994
GISTEMP,2007,0.66,2000,0.0030000000000000027
GISTEMP,2008,0.54,2000,-0.012
GISTEMP,2009,0.64,2000,0.009999999999999998
GISTEMP,2010,0.71,2010,0.006999999999999995
GISTEMP,2011,0.6,2010,-0.011
GISTEMP,2012,0.63,2010,0.0030000000000000027
GISTEMP,2013,0.65,2010,0.0020000000000000018
GISTEMP,2014,0.74,2010,0.008999999999999998
GISTEMP,2015,0.87,2010,0.013000000000000001
GISTEMP,2016,0.99,2010,0.012
